id	lemma	sense_id	left	word	right	senses
1	argument	4	Her National Gallery choices of pictures were examples of problems posed to artists by colour ,  and in a video talk she demonstrated how these artistic problems had been solved .  Connections with her own practice as a painter were evident ,  even though her abstract compositions were very different in subject from the works of her chosen artists ,  who included Veronese and Poussin .  Her	argument	was that the subjects of the old master paintings could be disregarded by a painter who wished to find lessons for the present in the artistic practice of the past . Bridget Riley had no intention of either presenting an account of Poussin 's  aims and procedures ,  or of demonstrating Veronese 's  debts to his predecessors in Venetian art ,  as a historian would have felt a duty to do .  The artist as critic in this case deliberately avoided the historical context  of the pictures she was discussing .	None
2	argument	2	If a critic has a very decided political or religious point of view ,  this can override other considerations in judgements about art ;  the viewpoint may also give a bias to the description or interpretation made .  A remarkable Marxist interpretation ,  for example ,  was made of Florentine painting from Giotto 's  time to the fifteenth century ,  by Frederick Antal in the 1940s .  Later writers , even those sympathetic to Antal 's thesis , have admitted that the	argument	about class conflict in the period was exaggerated , but this does not exclude the possibility that an equally unexpected approach may not throw light on some apparently exhausted topic . Of course ,  a theorist may damage an argument through bias ,  perhaps excluding relevant evidence inconvenient to the case being made ;  but this is not a danger exclusive to theorists .  Omissions are most patent perhaps in surveys made with a political bias .	None
3	argument	4	A remarkable Marxist interpretation ,  for example ,  was made of Florentine painting from Giotto 's  time to the fifteenth century ,  by Frederick Antal in the 1940s .  Later writers ,  even those sympathetic to Antal 's  thesis ,  have admitted that the argument about class conflict in the period was exaggerated ,  but this does not exclude the possibility that an equally unexpected approach may not throw light on some apparently exhausted topic .  Of course , a theorist may damage an	argument	through bias , perhaps excluding relevant evidence inconvenient to the case being made ; but this is not a danger exclusive to theorists . Omissions are most patent perhaps in surveys made with a political bias .  We have already mentioned in passing the state policies regarding the arts in Germany ,  the USSR and  China ;  there have been writers who followed the party lines by giving attention to those artists favoured by patronage ,  while neglecting others .	None
4	argument	2	As in books on the philosophy of art ,  or aesthetics ,  many do not in fact contain any art criticism ,  in the sense of description ,  interpretation and judgement of individual works .  Their strengths are rather in clearing the ground of preconceived ideas about the arts ,  and putting new points of view .  When works of art are described only those aspects of an image important to the	argument	are included . It is in this arena that some of the fiercest intellectual fighting about art is taking place ,  though the contests range wider than the visual arts to politics and economics .  For example ,  Chadwick states :  There can be no simple category defined as feminist art history ,  since the effect of new ideas is that much recent scholarly writing has shifted attention from the categories art and artist to broader issues concerning ideologies of gender ,  sexuality ,  and power .	None
5	argument	3	They may ,  however ,  not be exactly what the author would have preferred ,  as a colour plate which is readily available  ( perhaps having been used in another publication )  is much cheaper to use than a new plate which has to be commissioned .  The reader can thus be aware that a writer may have written round what happens to have been offered .  This may be important in assessing how well a writer illustrates an	argument	. The standards which can be obtained in colour reproductions today are high ,  but not always attained .  Comparison of illustrations of the same picture in several publications will demonstrate this truism ,  while the best test of looking at a reproduction in front of the picture itself can be a disheartening experience .	None
6	argument	2	In all capitalist democracies there are two sources for the legitimacy of the state ,  namely statehood itself and the ideology specific to the state in question .  It will be argued that when the second source is threatened as well as the first ,  the power to coerce can devolve on the civil sphere in a substantive way .  The conclusion to the	argument	will be that there is a specific form of violence of a political kind outside of state control which cannot be reduced to crime . The specificity of this form of violence or coercion has to be recognized ,  however one feels about the terrible consequences of it for the innocent .  This form of political violence requires political answers and not just an anti - criminal ,  police - oriented ,  coercive response .	None
7	argument	4	Covenant theology itself empowers the people to take action against the state in certain and specific circumstances ,  and Ian Paisley and many of his supporters both within and without the Orange order have frequently used bully - boy tactics ,  and approved paramilitary processions ,  marching ,  and drilling .  From Carson to Paisley one finds the argument that it is legitimate to fight to regain one 's  fundamental freedom if the sovereign with whom one has  covenanted one 's  allegiance betrays that allegiance and conducts one into slavery .  The	argument	is clearly inspired by a religious motivation and shows Ulster protestantism to be a vigorous form of political religion , approving whatever defensive measures are necessary to avoid submission to Rome rule. Ulster protestantism is not contained within churches but spills out on to the streets .  Religion is also involved in the violence indirectly .	None
8	argument	4	Perhaps the most revealing aspect of the whole affair is the way Dr Browne handled it .  The members of his party appeared to know nothing about the opposition of the hierarchy to the earlier Bill ,  and Dr Browne only found out in October/November 1950 .  When he was told of the hierarchy 's opposition to any bill of this kind , Dr Browne , himself secularly inclined , submitted his proposals and	arguments	to the hierarchy for approval , just as a previous Health Minister , Dr Walsh , had consulted Archbishop McQuaid on a similar matter in 1946 . If a man of such convictions felt it necessary to follow this course ,  how much more would have his religiously  devoted colleagues .  In fact ,  his cabinet colleagues ,  already unsure about public support for the bill and alienated from Dr Browne by his provocative politics ,  were not prepared to go against the hierarchy 's  condemnation and refused to support the proposal .	None
9	argument	4	But they did and still do remain the authoritative conscience of the nation .  In addition ,  the clergy appear to have considerable difficulty in recognizing the transformation which theoretical positions on Christian belief and morality undergo as they are concretized in historical human relationships ,  doubtless also because of the strong essentialist bias in their perception of socio - ethical issues .  Part of the overall	argument	of this book is that , as the Roman catholic church is principal validator or legitimator of the Southern state along with the concept of the national entity , what that state goes on to do in the field of social ethics cannot be separated out from the responsibilities of the church . This structural link between politics and religion is underlined by the legitimacy the church gives to the state as a whole ,  by recognizing it simply as society .  However ,  it is the further legitimation given to a particular socio - ethical form of political religion in the constitution and to the implied authority of religious intellectuals in deciding in concreto  what must be taken by the state as in the interests of the common good which gives to conflict in Ireland between the two alliances its political religious dimension in the sphere of law.	None
10	argument	2	These last were soon replaced ,  on 9 May ,  by a more specific and highly organized pressure group headed by many who had previously mounted the Pro - Life Anti - abortion Campaign .  Of particular importance to the anti - divorce campaign was a lawyer ,  William Binchy ,  who had already produced a book in 1984 on the subject .  Large publicity campaigns began and the Irish Times also lent its weight to the pro - divorce	argument	, campaigning in its columns until the eve of the referendum in late June. Though the coalition government were allowing their TDs  the Irish equivalent for MPs  a free vote on the issue ,  its parties ,  Fine Gael and Labour ,  officially sponsored the campaign for the constitutional change .  Fianna Fil appeared to be equally divided on the issue .	None
